LEAVE#	START		END		TYPE	DURATION
1	2004/9/7	2004/9/11	E.L	5
2	2004/11/25	2004/11/30	E.L	6
3	2005/1/17	2005/4/29	E.L	103
4	2005/8/1	2005/8/3	E.L	3
5	2005/8/29	2005/8/29	E.O.L	1
6	2007/2/13	2007/2/13	E.O.L	1
7	2007/2/15	2007/2/19	E.O.L	5
8	2007/2/25	2007/2/28	E.O.L	4
9	2007/3/1	2007/3/19	E.O.L	19
10	2007/5/1	2007/5/1	E.O.L	1
11	2007/5/5	2007/5/7	E.O.L	3
12	2007/5/12	2007/5/14	E.O.L	3
13	2007/5/27	2007/5/28	E.O.L	2
14	2007/6/15	2007/6/22	E.L	8
15	2007/7/7	2007/7/31	E.L	25
16	2007/8/1	2007/8/8	E.L	8
17	2007/8/11	2007/9/27	E.L	48
18	2007/10/15	2007/10/15	E.O.L	1
19	2007/12/29	2007/12/31	E.O.L	3
20	2008/1/17	2008/1/31	E.O.L	15
21	2008/6/1	2008/6/8	E.O.L	8
22	2008/6/14	2008/6/29	E.O.L	16
23	2008/7/27	2008/7/31	E.O.L	5
24	2008/8/1	2008/8/3	E.L	3
25	2008/8/7	2008/8/13	E.L	7
26	2008/8/14	2008/8/17	E.O.L	4
27	2008/8/25	2008/8/31	E.O.L	7
28	2008/9/4	2008/9/7	E.O.L	4
29	2008/9/13	2008/9/18	E.O.L	6
30	2008/9/20	2008/9/30	E.O.L	11
31	2008/10/14	2008/11/9	E.L	27
32	2009/6/23	2009/6/27	E.O.L	5
33	2009/7/4	2009/8/7	E.L	35
34	2009/8/25	2009/8/25	E.O.L	1
35	2009/8/26	2009/8/26	E.O.L	1
36	2009/8/31	2009/8/31	E.O.L	1
37	2009/9/14	2009/9/23	E.L	10
38	2009/10/12	2009/10/12	E.O.L	1
39	2009/11/23	2009/11/23	E.O.L	1
40	2009/12/24	2009/12/27	E.O.L	4
41	2010/4/3	2010/4/4	E.O.L	2
42	2010/5/11	2010/5/16	E.O.L	6
43	2010/6/1	2010/6/9	E.O.L	9
44	2010/6/17	2010/6/18	E.O.L	2
45	2010/6/26	2010/6/28	E.O.L	3
46	2010/7/4	2010/7/25	E.O.L	22
47	2010/9/2	2010/9/2	E.O.L	1
48	2010/9/3	2010/9/3	E.O.L	1
49	2010/9/6	2010/9/6	E.O.L	1
50	2010/9/25	2010/9/25	E.O.L	1
51	2010/9/27	2010/9/27	E.O.L	1
52	2010/10/21	2010/10/26	E.O.L	6
53	2010/11/1	2010/11/2	E.O.L	2
54	2010/11/6	2010/11/8	E.O.L	3
55	2010/11/29	2010/11/30	E.O.L	2
56	2010/12/1	2010/12/2	E.O.L	2
57	2010/12/5	2010/12/8	E.O.L	4
58	2010/12/29	2010/12/29	E.O.L	1
59	2011/1/2	2011/1/6	E.O.L	5
60	2011/1/16	2011/1/21	E.O.L	6
61	2011/2/1	2011/2/6	E.O.L	6
62	2011/2/20	2011/2/23	E.O.L	4
63	2011/2/26	2011/2/26	E.O.L	1
64	2011/3/7	2011/3/8	E.O.L	2
65	2011/3/14	2011/3/15	E.O.L	2
66	2011/3/26	2011/3/31	E.O.L	6
67	2011/4/22	2011/4/26	E.O.L	5
68	2011/8/8	2011/8/11	E.O.L	4
69	2011/8/16	2011/8/16	E.O.L	1
70	2011/8/22	2011/8/23	E.O.L	2
71	2011/10/16	2011/10/18	E.O.L	3
72	2011/10/25	2011/10/28	E.O.L	4
73	2011/11/5	2011/11/12	E.O.L	8
74	2012/11/10	2012/11/21	E.O.L	12
75	2013/1/8	2013/1/11	E.O.L	4
76	2013/2/18	2013/2/18	E.O.L	1
77	2013/4/1	2013/4/7	E.O.L	7
78	2013/4/19	2013/4/25	E.O.L	7
79	2013/5/19	2013/5/31	E.O.L	13
80	2013/6/1	2013/6/4	E.O.L	4
81	2013/6/22	2013/6/26	E.O.L	5
82	2013/7/4	2013/7/14	E.O.L	11
83	2013/8/25	2013/8/31	E.O.L	7
84	2013/11/1	2013/11/10	E.O.L	10
85	2013/11/17	2013/11/19	E.O.L	3
86	2014/3/1	2014/3/1	E.O.L	1
87	2014/3/24	2014/3/31	E.O.L	8
88	2014/5/10	2014/5/14	E.O.L	5
89	2014/5/18	2014/5/21	E.O.L	4
90	2014/6/1	2014/6/8	E.O.L	8
91	2014/6/22	2014/6/25	E.O.L	4
92	2014/7/3	2014/7/3	E.O.L	1
93	2014/7/9	2014/7/10	E.O.L	2
94	2014/7/15	2014/7/20	E.O.L	6
95	2014/7/30	2014/7/30	E.O.L	1
96	2015/1/23	2015/1/31	E.O.L	9
97	2015/11/16	2015/11/17	E.L	2
98	2015/12/7	2015/12/8	E.L	2
99	2015/12/26	2015/12/29	E.L	4
